,,,,,
,,,,,
GISP2 Ice Core,,,Siple Dome Ice Core,,
Mid Depth Below Surface (m),Methane Concentration (ppb),Meese/Sowers Gas Age (ka),Mid Depth Below Surface (m),Methane Concentration (ppb),"Gas Age (ka) (Brook et al., 2005)"
95.98,910.7,0.03,55.7,1015.9,0.08059
99.24,894.0,0.05,60.35,865.1,0.11929
104.05,853.6,0.07,65.28,798.1,0.16908
107.05,839.6,0.08,70.51,748.4,0.21238
107.30,829.5,0.08,75.11,732.2,0.2507
109.56,826.9,0.09,79.93,693.9,0.29015
111.70,819.7,0.10,85.29,703.6,0.34347
116.28,789.2,0.12,89.86,703.3,0.38148
119.95,788.2,0.13,94.42,701.7,0.42844
123.88,779.9,0.15,100.46,707.8,0.49086
128.95,771.0,0.17,105.40,692.5,0.54082
129.06,764.8,0.17,110.46,678.2,0.59067
133.90,747.0,0.19,115.26,693.2,0.63015
143.05,729.8,0.23,120.35,689.5,0.68086
152.49,738.1,0.27,125.29,688.4,0.73088
154.15,733.9,0.28,130.22,706.8,0.78204
175.30,770.4,0.37,134.69,704.2,0.82909
198.39,720.2,0.46,139.82,691.6,0.89243
201.05,728.7,0.48,143.75,690.4,0.94104
212.05,730.8,0.53,148.47,672.3,0.99896
221.76,720.3,0.57,151.71,664.1,1.03122
235.05,738.6,0.63,156.42,658.4,1.09878
244.05,725.8,0.67,160.56,655.0,1.14106
246.16,721.0,0.68,164.67,639.0,1.1919
266.81,743.0,0.79,168.53,655.4,1.23108
289.07,730.9,0.88,172.45,655.4,1.28082
308.70,711.9,0.95,176.25,648.3,1.32107
335.05,698.8,1.07,180.32,664.5,1.37247
359.74,689.4,1.19,184.12,656.7,1.42114
379.05,687.4,1.27,188.03,641.9,1.46093
397.30,693.1,1.36,192.00,638.5,1.50216
418.95,673.7,1.47,195.66,631.6,1.54875
436.30,683.2,1.56,200.60,643.8,1.60995
458.05,685.7,1.67,203.51,648.8,1.6586
478.65,683.3,1.78,207.76,647.1,1.71108
498.05,680.5,1.88,211.53,643.6,1.75891
517.35,666.6,1.97,215.77,641.1,1.81104
536.05,651.8,2.06,219.74,620.8,1.86125
555.15,656.9,2.17,223.58,628.4,1.91108
574.15,645.9,2.27,227.33,618.6,1.95892
593.70,658.0,2.37,231.77,619.9,2.01437
612.63,648.6,2.47,235.80,612.7,2.06138
